timestamp,hidden_size,epochs,n_samples,lr,mean_err,max_err,test_loss,train_sec,err_0012,err_0112,err_1012,err_1112,err_0023,err_0123,err_1023,err_1123
2026-03-31 11:26:32,150,1000,27000,0.1,9.736210e-02,1.660506e-01,2.113505e-03,50.0,1.660506e-01,1.464465e-01,7.544350e-02,1.235661e-02,1.183840e-02,9.815871e-02,1.325745e-01,1.360280e-01
2026-03-31 11:30:11,150,1000,125000,0.01,3.866576e-02,5.216981e-02,1.744679e-03,213.4,5.216981e-02,3.696734e-02,3.560356e-02,1.984053e-02,3.348354e-02,4.433981e-02,3.834510e-02,4.857639e-02
2026-03-31 11:33:46,150,1000,125000,0.1,1.236337e-01,1.780024e-01,2.177720e-03,213.1,1.780024e-01,1.713453e-01,1.134757e-01,3.206662e-02,1.611196e-01,1.084877e-01,1.330479e-01,9.152462e-02
2026-03-31 11:34:42,150,3000,8000,0.01,1.328892e-02,2.428448e-02,8.222713e-04,51.7,2.428448e-02,1.145726e-02,1.251902e-02,7.070731e-03,1.416501e-02,1.193156e-02,5.236621e-03,1.964664e-02
2026-03-31 11:35:35,150,3000,8000,0.1,5.191889e-02,1.189926e-01,1.405947e-03,51.7,3.212428e-02,6.432522e-02,5.058104e-02,7.898830e-02,5.180159e-02,1.230683e-03,1.730743e-02,1.189926e-01
2026-03-31 11:38:09,150,3000,27000,0.01,9.485697e-03,2.175098e-02,6.924346e-04,149.8,7.594342e-03,2.499544e-03,1.320713e-02,2.750750e-03,2.572383e-03,1.907050e-02,6.439950e-03,2.175098e-02
2026-03-31 11:40:41,150,3000,27000,0.1,4.387050e-02,1.009236e-01,1.302188e-03,150.1,3.185379e-02,5.117465e-02,8.198027e-02,1.084585e-03,4.353717e-02,1.009236e-01,1.247997e-02,2.792999e-02
2026-03-31 11:51:25,150,3000,125000,0.01,1.408475e-02,1.948032e-02,6.502392e-04,639.2,1.928436e-02,1.553991e-02,9.989463e-03,8.661222e-03,1.164594e-02,1.346790e-02,1.460886e-02,1.948032e-02
2026-03-31 12:02:44,150,3000,125000,0.1,5.062315e-02,1.015118e-01,1.402923e-03,676.5,2.838563e-02,5.229411e-02,9.450404e-02,2.301382e-02,8.150074e-02,1.015118e-01,3.765766e-03,2.000933e-02
2026-03-31 12:04:18,150,5000,8000,0.01,1.161053e+00,1.336806e+00,3.292304e-03,90.4,1.336806e+00,1.236652e+00,1.216946e+00,1.146930e+00,1.178639e+00,1.099237e+00,1.070582e+00,1.002632e+00
2026-03-31 12:05:55,150,5000,8000,0.1,1.207796e-02,2.079978e-02,7.810898e-04,95.8,2.790207e-03,6.957925e-03,6.093436e-03,9.358529e-03,2.079978e-02,1.815871e-02,1.372245e-02,1.874265e-02
2026-03-31 12:10:23,150,5000,27000,0.01,2.005018e-02,2.582515e-02,5.303180e-04,264.3,2.442158e-02,2.578016e-02,1.703974e-02,1.872200e-02,1.908455e-02,8.819516e-03,2.070874e-02,2.582515e-02
2026-03-31 12:15:00,150,5000,27000,0.1,3.837647e-02,7.263961e-02,6.820841e-04,276.2,1.073706e-02,1.549125e-02,1.119568e-02,4.144259e-02,7.263961e-02,4.694564e-02,4.591026e-02,6.264964e-02
2026-03-31 12:33:27,150,5000,125000,0.01,2.257439e-03,4.811023e-03,5.195169e-04,1102.7,1.159186e-03,1.535035e-03,2.328226e-04,3.400643e-03,4.811023e-03,4.368578e-03,1.438652e-03,1.113574e-03
2026-03-31 12:51:59,150,5000,125000,0.1,3.015477e-02,5.339997e-02,7.256364e-04,1109.3,1.273798e-02,3.405601e-02,1.608848e-02,5.339997e-02,4.751762e-02,2.450565e-02,4.195694e-03,4.873675e-02
2026-03-31 12:52:27,200,1000,8000,0.01,2.480447e-02,5.189679e-02,1.831454e-03,21.1,5.037654e-02,4.143945e-04,1.521047e-02,5.189679e-02,3.002604e-02,6.208973e-04,1.831609e-02,3.157454e-02
2026-03-31 12:52:49,200,1000,8000,0.1,1.629373e-01,4.210875e-01,1.872461e-03,21.0,7.146621e-02,8.522410e-02,1.388930e-01,1.481825e-01,4.210875e-01,7.546079e-02,6.459057e-02,2.985941e-01
2026-03-31 12:53:55,200,1000,27000,0.01,2.442857e-02,4.462861e-02,1.816375e-03,58.5,3.941405e-02,2.706928e-02,1.332594e-02,2.282465e-05,8.520340e-03,2.105570e-02,4.139185e-02,4.462861e-02
2026-03-31 12:54:54,200,1000,27000,0.1,1.579244e-01,2.154072e-01,2.137914e-03,57.4,1.832160e-01,1.988743e-01,1.894549e-01,5.470090e-02,2.154072e-01,1.492919e-01,1.572990e-01,1.151507e-01
2026-03-31 12:59:05,200,1000,125000,0.01,5.026433e-02,9.432220e-02,2.223757e-03,243.1,5.328214e-02,9.432220e-02,2.919700e-02,6.868860e-02,3.310248e-02,1.880373e-03,7.951802e-02,4.212387e-02
2026-03-31 13:03:13,200,1000,125000,0.1,1.937652e-01,5.019494e-01,2.207312e-03,245.7,5.136920e-02,1.198168e-01,1.470513e-01,1.727617e-01,5.019494e-01,9.645569e-02,9.062913e-02,3.700885e-01
2026-03-31 13:04:26,200,3000,8000,0.01,1.142843e-02,2.248907e-02,6.649117e-04,66.9,1.566648e-02,3.795392e-03,6.771885e-03,3.367772e-04,2.140548e-02,1.640448e-02,4.557844e-03,2.248907e-02
2026-03-31 13:05:34,200,3000,8000,0.1,6.587463e-02,1.217400e-01,1.524290e-03,67.2,3.705584e-02,8.607040e-02,1.081095e-01,2.825126e-02,4.480282e-02,1.217400e-01,1.137448e-02,8.959268e-02
2026-03-31 13:08:35,200,3000,27000,0.01,1.051100e-02,2.675999e-02,7.060175e-04,175.1,7.787341e-03,1.484596e-02,2.344761e-05,2.262507e-03,2.810146e-03,9.221222e-03,2.037739e-02,2.675999e-02
2026-03-31 13:11:27,200,3000,27000,0.1,5.190496e-02,1.223736e-01,1.464265e-03,169.6,5.657619e-04,7.699133e-02,9.829906e-02,1.726800e-02,6.327060e-02,1.223736e-01,6.007467e-03,3.046386e-02
2026-03-31 13:23:46,200,3000,125000,0.01,4.547858e-03,8.027885e-03,7.173149e-04,732.1,5.214328e-03,4.634924e-03,4.931427e-03,8.027885e-03,1.030172e-03,7.566171e-04,4.553373e-03,7.234138e-03
2026-03-31 13:36:20,200,3000,125000,0.1,4.605181e-02,9.909556e-02,1.514017e-03,751.8,1.545727e-02,5.163766e-02,9.909556e-02,1.561981e-02,6.522212e-02,9.614223e-02,2.708848e-03,2.253098e-02
2026-03-31 13:38:10,200,5000,8000,0.01,8.909809e-03,3.194559e-02,5.084350e-04,105.2,3.194559e-02,3.484703e-03,1.200692e-02,6.464610e-04,9.076212e-03,8.060698e-03,1.705285e-03,4.352604e-03
2026-03-31 13:40:00,200,5000,8000,0.1,3.851794e-02,9.947829e-02,7.194517e-04,108.6,2.213215e-02,2.701253e-02,1.275923e-02,3.011142e-02,8.415952e-02,1.144556e-02,2.104479e-02,9.947829e-02
2026-03-31 13:44:57,200,5000,27000,0.01,3.356206e-03,1.029012e-02,5.922969e-04,292.2,6.163364e-03,1.602925e-03,2.126730e-03,3.408764e-03,1.029012e-02,7.376118e-04,1.639847e-03,8.802890e-04
2026-03-31 13:49:58,200,5000,27000,0.1,3.006522e-02,7.206872e-02,8.287543e-04,299.7,1.226080e-02,1.031694e-02,2.876557e-03,4.454647e-02,7.206872e-02,1.720372e-02,2.653301e-02,5.471550e-02
2026-03-31 14:10:25,200,5000,125000,0.01,6.669615e-03,1.004326e-02,5.397828e-04,1221.4,1.004326e-02,1.379318e-03,5.264335e-03,9.745057e-03,9.915019e-03,5.732353e-03,4.001860e-03,7.275720e-03
2026-03-31 14:30:22,200,5000,125000,0.1,4.576825e-02,7.804247e-02,8.264126e-04,1194.8,3.486920e-02,2.287314e-02,2.750549e-02,3.557267e-02,7.804247e-02,4.744446e-02,5.581475e-02,6.402384e-02
